Term,Format,Midterm,Final
W18,Campus,147,179
W18,Campus,157,90
W18,Campus,179,170
W18,Campus,163,134
W18,Campus,162,134
W18,Campus,140,183
W18,Campus,253,232
W18,Campus,198.5,206
W18,Campus,210,244
W18,Campus,227,210
W18,Campus,148,147
W18,Campus,225,250
W18,Campus,162,174
W18,Campus,245,244
W18,Campus,214,203.5
W18,Campus,203,216
W18,Campus,231,220
W18,Campus,208,234
W18,Campus,185,185
W18,Campus,209.5,203
W18,Campus,222,230
W18,Campus,237,217
W18,Campus,216,178
W18,Campus,197,238
W18,Campus,222,235
W18,Campus,207.5,217
W18,Campus,161,169
W18,Campus,135,184
W18,Campus,206,227
W18,Campus,205.5,197
W18,Campus,224,192
W18,Campus,242,213
W18,Campus,186,221
W18,Campus,186,222
W18,Campus,241,242
W18,Campus,223,236
W18,Campus,204.5,210
W18,Campus,142,210
W18,Campus,219,198
W18,Campus,220,208
W18,Campus,236,212
W18,Campus,232,238
W18,Campus,153,165
W18,Campus,199,203
W18,Campus,208,172
W18,Campus,173,202
W18,Campus,154,200
W18,Campus,187,210
W18,Campus,149,177
W18,Campus,205.5,208
W18,Campus,138,119
W18,Campus,153,208
W18,Campus,248,242
W18,Campus,118,162
W18,Campus,178,231
W18,Campus,211,193
W18,Campus,209,219
W18,Campus,153,108
W18,Campus,171,133
W18,Campus,179,215
W18,Campus,209,224
W18,Campus,94,123
W18,Campus,188,185
W18,Campus,246,244
W18,Campus,220,231
W18,Campus,241,232
W18,Campus,183,165
W18,Campus,184,199
W18,Campus,240,230
W18,Campus,193.5,193
W18,Campus,226,242
W18,Campus,236,228
W18,Campus,220,218
W18,Campus,217,204
W18,Campus,160,151
W18,Campus,165,143
W18,Campus,181,159
W18,Campus,139,141
W18,Campus,220,244
W18,Campus,200,213
W18,Campus,251.5,216
W18,Campus,109,98
W18,Campus,238,230
W18,Campus,192,216
W18,Campus,193,210
W18,Campus,147,146
W18,Campus,207,194
W18,Campus,223,215
W18,Campus,248,229
W18,Campus,233.5,188
W18,Campus,242,226
W18,Campus,185,220
W18,Campus,242,240
W18,Campus,130,141
W18,Campus,189,157
W18,Campus,181,181
W18,Campus,214,218
W18,Campus,224,206
W18,Campus,219,236
W18,Campus,182,201
W18,Campus,215,218
W18,Campus,254,250
W18,Campus,258,248
W18,Campus,212,214
W18,Campus,177,184
W18,Campus,222,214
W18,Campus,189,178
W18,Campus,160.5,177
W18,Campus,177,231
W18,Campus,192,189
W18,Campus,237,228
W18,Campus,128,90
W18,Campus,152,144
W18,Campus,204,209
W18,Campus,135,181
W18,Campus,180,198
W18,Campus,191,188
W18,Campus,248,225
W18,Campus,193,222
W18,Campus,199,218
W18,Campus,219,217
W18,Campus,229,214
W18,Campus,137,149
W18,Campus,239,229
W18,Campus,221,238
W18,Campus,153,177
W18,Campus,190,162
W18,Campus,181.5,212
W18,Campus,202,180
W18,Campus,235,242
W18,Campus,207,195
W18,Campus,193,184
W18,Campus,200,191
W18,Campus,248,218
W18,Campus,212,112
W18,Campus,153.5,173
W18,Campus,147,173
W18,Campus,186,213
W18,Campus,159,180
W18,Campus,194,196
W18,Campus,134,205
W18,Campus,229,200
W18,Campus,200,196
W18,Campus,244,242
W18,Campus,240,242
W18,Campus,214,226
W18,Campus,198,201
W18,Campus,232,225
W18,Campus,192,214
W18,Campus,206,206
W18,Campus,219,212
W18,Campus,206.5,185
W18,Campus,200,202
W18,Campus,256,244
W18,Campus,212,244
W18,Campus,182,220
W18,Campus,172,201
W18,Campus,226,202
W18,Campus,200,215
W18,Campus,221,199
W18,Campus,199,189
W18,Campus,202,244
W18,Campus,221,206
W18,Campus,133,141
W18,Campus,194,206
W18,Campus,197,220
W18,Campus,254,236
W18,Campus,209,235
W18,Campus,147,200
W18,Campus,183,191
W18,Campus,200,209
W18,Online,150,183
W18,Online,186,225
W18,Online,231,205
W18,Online,146,234
W18,Online,238,244
W18,Online,203,156
W18,Online,205,192
W18,Online,192,152
W18,Online,149,120
W18,Online,197,174
W18,Online,217,189
W18,Online,238,203
W18,Online,204,180
W18,Online,223,193
W18,Online,200,228
W18,Online,242,223
W18,Online,178,212
W18,Online,204,183
W18,Online,228,219
W18,Online,183,201
W18,Online,186,217
W18,Online,177,211
W18,Online,170,165
W18,Online,230,231
W18,Online,194,183
W18,Online,129,151
W18,Online,218,210
W18,Online,191,242
W18,Online,190,211
W18,Online,193,181
W18,Online,239,244
W18,Online,177,151
W18,Online,139,168
W18,Online,228,203
W18,Online,153,192
W18,Online,183,203
W18,Online,224,224
W18,Online,202,216
W18,Online,219,202
W18,Online,250,203
W18,Online,230,207
W18,Online,210,206
W18,Online,213,237
W18,Online,224,219
W18,Online,148,149
W18,Online,207,190
W18,Online,209,190
W18,Online,191,170
W18,Online,206,220
W18,Online,166,172
W18,Online,198,189
W18,Campus,154,191
W18,Campus,187,160
W18,Campus,199,183
W18,Online,250,250
W18,Online,163,208
W18,Online,123,129
Sp18,Campus,250,250
Sp18,Campus,228,208
Sp18,Campus,186,171.5
Sp18,Campus,231,225
Sp18,Campus,181,197
Sp18,Campus,178,146
Sp18,Campus,185,153
Sp18,Campus,203,158
Sp18,Campus,249,224
Sp18,Campus,250,215
Sp18,Campus,188,184
Sp18,Campus,251,231
Sp18,Campus,176,137
Sp18,Campus,236,209
Sp18,Campus,170,131
Sp18,Campus,210,187.5
Sp18,Campus,165,151
Sp18,Campus,237,250
Sp18,Campus,150,166
Sp18,Campus,224,200.5
Sp18,Campus,235,238
Sp18,Campus,191,210
Sp18,Campus,154,123
Sp18,Campus,209,188
Sp18,Campus,235,238
Sp18,Campus,250,231
Sp18,Campus,226,232
Sp18,Campus,232,224
Sp18,Campus,190,189
Sp18,Campus,144,195
Sp18,Campus,186,189
Sp18,Campus,219,225
Sp18,Campus,205,156
Sp18,Campus,229,233
Sp18,Campus,222,217
Sp18,Campus,221,232
Sp18,Campus,220,229
Sp18,Campus,244,230
Sp18,Campus,222,235
Sp18,Campus,222,206
Sp18,Campus,235,219
Sp18,Campus,242,198
Sp18,Campus,218,195
Sp18,Campus,200,162
Sp18,Campus,217,206
Sp18,Campus,205,210
Sp18,Campus,201,183
Sp18,Campus,229,231
Sp18,Campus,231,237
Sp18,Campus,197,178
Sp18,Campus,240,210
Sp18,Campus,190,237
Sp18,Campus,194,242
Sp18,Campus,217,224
Sp18,Campus,227,172
Sp18,Campus,207,196
Sp18,Campus,212,233
Sp18,Campus,183,133
Sp18,Campus,208,188
Sp18,Campus,227,218
Sp18,Campus,199,205
Sp18,Campus,226,226
Sp18,Campus,225,225
Sp18,Campus,190,176
Sp18,Campus,218,235
Sp18,Campus,223.5,201
Sp18,Campus,243,232
Sp18,Campus,236,244
Sp18,Campus,195,226
Sp18,Campus,218,201
Sp18,Campus,227,234
Sp18,Campus,217,200
Sp18,Campus,225,238
Sp18,Campus,216,207
Sp18,Campus,207,202
Sp18,Campus,228,230
Sp18,Campus,218.5,237
Sp18,Campus,249,249
Sp18,Campus,211,159
Sp18,Campus,198,186
Sp18,Campus,171,164
Sp18,Campus,186,195
Sp18,Campus,182,195
Sp18,Campus,206.5,211
Sp18,Campus,159,162
Sp18,Campus,202,199
Sp18,Campus,166,178
Sp18,Campus,237,239
Sp18,Campus,215,231
Sp18,Campus,231,226
Sp18,Campus,234,213
Sp18,Campus,252,244
Sp18,Campus,222,214
Sp18,Campus,185,182
Sp18,Campus,245,186
Sp18,Campus,89,64
Sp18,Campus,221,201
Sp18,Campus,227,205
Sp18,Campus,179,183
Sp18,Campus,152,160
Sp18,Campus,237,218
Sp18,Campus,165,206
Sp18,Campus,235,186
Sp18,Campus,201,203
Sp18,Campus,244,244
Sp18,Campus,224,179
Sp18,Campus,210.5,238
Sp18,Campus,228,205
Sp18,Campus,185,202
Sp18,Campus,206,189
Sp18,Campus,229,218
Sp18,Campus,234,221
Sp18,Campus,162.5,180
Sp18,Campus,231,226
Sp18,Campus,203,186
Sp18,Campus,211,225
Sp18,Campus,180,206
Sp18,Campus,210,194
Sp18,Campus,216,219
Sp18,Campus,152,149
Sp18,Campus,220,231
Sp18,Campus,228,207
Sp18,Campus,217,197
Sp18,Campus,240,233
Sp18,Campus,218,156
Sp18,Campus,235,250
Sp18,Campus,217,177
Sp18,Campus,231,232
Sp18,Campus,223,227
Sp18,Campus,210,213
Sp18,Campus,152,192
Sp18,Campus,246,209
Sp18,Campus,228,238
Sp18,Campus,253,250
Sp18,Campus,205,185
Sp18,Campus,219,220
Sp18,Campus,209,202
Sp18,Campus,199,170
Sp18,Campus,226,226
Sp18,Campus,221,190
Sp18,Campus,209,182
Sp18,Campus,210.5,206
Sp18,Campus,194,173
Sp18,Campus,185,149
Sp18,Campus,226,228
Sp18,Campus,210,229
Sp18,Campus,226,207
Sp18,Campus,227,172
Sp18,Campus,208,216
Sp18,Campus,242,202
Sp18,Campus,224,228
Sp18,Campus,214.5,182
Sp18,Campus,243,220
Sp18,Campus,176,243
Sp18,Campus,224,190
Sp18,Campus,199,208
Sp18,Campus,193,131
Sp18,Campus,226,207
Sp18,Campus,211,189
Sp18,Campus,158,171
Sp18,Campus,236,220
Sp18,Campus,252,250
Sp18,Campus,189,220
Sp18,Campus,251,220
Sp18,Campus,235,232
Sp18,Campus,200,196
Sp18,Campus,203,206.5
Sp18,Campus,199,202
Sp18,Campus,226,195
Sp18,Campus,233,202
Sp18,Campus,198,231
Sp18,Campus,197,225
Sp18,Campus,214,238
Sp18,Campus,167,194
Sp18,Campus,219,232
Sp18,Campus,229,232
Sp18,Campus,178,184
Sp18,Campus,244,232
Sp18,Campus,193,217
Sp18,Campus,229,190
Sp18,Campus,245,224
Sp18,Campus,217,206
Sp18,Campus,222,194
Sp18,Campus,194,170
Sp18,Campus,236,219
Sp18,Campus,233,225
Sp18,Campus,230,237
Sp18,Campus,243,220
Sp18,Campus,193,78
Sp18,Campus,215,190
Sp18,Campus,228,250
Sp18,Campus,219,203
Sp18,Campus,229,181
Sp18,Campus,212,192
Sp18,Campus,252,240
Sp18,Campus,216,164
Sp18,Campus,233,200
Sp18,Campus,214,220
Sp18,Campus,255,244
Sp18,Campus,202,201
Sp18,Campus,204,182
Sp18,Campus,225,225
Sp18,Campus,196,217
Sp18,Campus,226,210
Sp18,Campus,145,165
Sp18,Campus,228,222
Sp18,Campus,198,172
Sp18,Campus,177,148
Sp18,Campus,243,244
Sp18,Campus,250,227
Sp18,Campus,234,204
Sp18,Campus,218,190
Sp18,Campus,234,196
Sp18,Campus,206,122
Sp18,Campus,218,238
Sp18,Campus,184,151
Sp18,Campus,177,180
Sp18,Campus,233,231
Sp18,Campus,233,234
Sp18,Campus,208.5,243
Sp18,Campus,246,203
Sp18,Campus,158.5,168
Sp18,Campus,230,218
Sp18,Campus,243.5,210
Sp18,Campus,165,171
Sp18,Campus,188,189.5
Sp18,Campus,247,236
Sp18,Campus,253,226
Sp18,Campus,187,188
Sp18,Campus,198,211
Sp18,Campus,229,215
Sp18,Campus,209,188
Sp18,Campus,183,174
Sp18,Campus,227,205
Sp18,Campus,229,244
Sp18,Campus,225,210
Sp18,Campus,146,235
Sp18,Campus,184,214
Sp18,Campus,212,204
Sp18,Campus,181,208
Sp18,Campus,235,230
Sp18,Campus,143,179
Sp18,Campus,166,167
Sp18,Campus,218,202
Sp18,Campus,238,227
Sp18,Campus,177,186
Sp18,Campus,179,197
Sp18,Campus,207,224
Sp18,Campus,236,231
Sp18,Campus,235,243
Sp18,Campus,207,215
Sp18,Campus,229,231
Sp18,Campus,194,211
Sp18,Campus,231,244
Sp18,Campus,244,232
Sp18,Campus,252,232
Sp18,Campus,198,215
Sp18,Campus,227,205
Sp18,Campus,217,187
Sp18,Campus,163,139
Sp18,Campus,195,231
Sp18,Campus,200,202
Sp18,Campus,233,201
Sp18,Campus,230,231
Sp18,Campus,241,213
Sp18,Campus,217,211
Sp18,Campus,183,132
Sp18,Campus,210,221
Sp18,Campus,200,217
Sp18,Campus,230,192
Sp18,Campus,248,232
Sp18,Campus,181,202
Sp18,Campus,155,153
Sp18,Campus,210,155
Sp18,Campus,212,231
Sp18,Campus,229,244
Sp18,Campus,236,220
Sp18,Campus,219,207
Sp18,Campus,210,220
Sp18,Campus,233,181
Sp18,Campus,208,197
Sp18,Campus,152,223
Sp18,Campus,203.5,170
Sp18,Campus,209.5,197
Sp18,Campus,227,238
Sp18,Campus,171,204
Sp18,Campus,218,216
Sp18,Campus,244,222
Sp18,Campus,237,250
Sp18,Campus,238,250
Sp18,Campus,176,211
Sp18,Campus,228,242
Sp18,Campus,167,177
Sp18,Campus,213,190
Sp18,Campus,243,238
Sp18,Campus,191,209
Sp18,Campus,208,108
Sp18,Campus,227,222
Sp18,Campus,183,176
Sp18,Campus,233.5,211
Sp18,Campus,209,226
Sp18,Campus,225.5,236
Sp18,Campus,225,234
Sp18,Campus,177,168
Sp18,Campus,221,209
Sp18,Campus,201,231
Sp18,Campus,181,202
Sp18,Campus,172,168
Sp18,Campus,210,208
Sp18,Campus,181,193
Sp18,Campus,209,207
Sp18,Campus,243,223
Sp18,Campus,207,196
Sp18,Campus,191,143
Sp18,Campus,239,219
Sp18,Campus,212,216
Sp18,Campus,210,237
Sp18,Campus,236,207
Sp18,Campus,199,173
Sp18,Campus,205,250
Sp18,Online,144,176
Sp18,Online,244,241
Sp18,Online,236,214
Sp18,Online,218,198
Sp18,Online,225,223
Sp18,Online,182.5,192
Sp18,Online,246,240
Sp18,Online,104,161
Sp18,Online,235,214
Sp18,Online,236,237
Sp18,Online,197,212
Sp18,Online,202,172
Sp18,Online,156,148
Sp18,Online,170,180
Sp18,Online,220,226
Sp18,Online,238,220
Sp18,Online,179,132
Sp18,Online,191,202
Sp18,Online,203,154
Sp18,Online,205,193
Sp18,Online,163,184
Sp18,Online,210,196
Sp18,Online,212,238
Sp18,Online,197,196
Sp18,Online,193,160
Sp18,Online,190,147
Sp18,Online,213,195
Sp18,Online,204,223
Sp18,Online,181,174
Sp18,Online,206,187
Sp18,Online,210,160
Sp18,Online,176,178
Sp18,Online,213,207
Sp18,Online,167,204
Sp18,Online,221,235
Sp18,Online,115,150
Sp18,Online,214,208
Sp18,Online,203,196
Sp18,Online,230,226
Sp18,Online,244,169
Sp18,Online,182,181
Sp18,Online,203,161
Sp18,Online,228,214
Sp18,Online,204,212
Sp18,Online,213,201
Sp18,Online,229,202
Sp18,Online,181,147.5
Sp18,Online,171,192
Sp18,Online,192,113
Sp18,Online,237,202
Sp18,Online,205,193
Sp18,Online,192,170
Sp18,Online,155,145
Sp18,Online,203,224
Sp18,Online,192,169
Sp18,Online,165,216
Sp18,Online,166,178
Sp18,Online,196,205
Sp18,Online,202,202
Sp18,Online,118,163
Sp18,Online,198,201
Sp18,Online,129,159
Sp18,Online,231,223
F18,Online,105,115
F18,Campus,111,188
F18,Campus,113.5,125
F18,Campus,115,107
F18,Online,124,189
F18,Online,125,167
F18,Online,129,197
F18,Online,130,151
F18,Campus,130.5,161
F18,Campus,139,144
F18,Campus,139,165
F18,Campus,139.5,103
F18,Online,140,170
F18,Campus,141,173
F18,Campus,142,191
F18,Campus,142.5,178
F18,Online,143,156
F18,Campus,143.5,128
F18,Campus,144,180
F18,Campus,144,186
F18,Campus,144.5,183
F18,Campus,144.5,204
F18,Campus,145,176
F18,Online,146.5,202
F18,Online,148,154
F18,Campus,148,176
F18,Campus,149.5,184
F18,Campus,150,148
F18,Campus,150,183
F18,Campus,153.5,135
F18,Online,155,158
F18,Campus,155,197
F18,Campus,156,190
F18,Online,157,224
F18,Campus,157.5,179
F18,Campus,157.5,195
F18,Campus,157.5,214
F18,Campus,158,184
F18,Campus,158.5,205
F18,Campus,159.5,192
F18,Online,160,182
F18,Campus,161,194
F18,Campus,161,195
F18,Campus,162,149
F18,Online,162,173
F18,Campus,163,143
F18,Campus,163,166
F18,Online,163,187
F18,Online,163,211
F18,Online,164,235
F18,Online,165,170
F18,Campus,166,207
F18,Campus,166.5,171
F18,Campus,169.5,173
F18,Campus,169.5,196
F18,Campus,170,216
F18,Campus,170.5,154
F18,Online,172,195
F18,Campus,172,209
F18,Campus,172.5,194
F18,Campus,173.5,172
F18,Campus,173.5,205
F18,Online,174,165
F18,Campus,174,169
F18,Online,174,218
F18,Campus,174.5,183
F18,Campus,174.5,234
F18,Online,175,172
F18,Online,175,214
F18,Campus,175.5,208
F18,Online,176,140
F18,Campus,176,166
F18,Online,176.5,176
F18,Campus,176.5,196
F18,Campus,176.5,219
F18,Campus,177,230
F18,Campus,177.5,166
F18,Campus,177.5,189
F18,Campus,178,204
F18,Campus,178,217
F18,Campus,178,235
F18,Campus,178.5,218
F18,Campus,179,161
F18,Campus,179,201
F18,Campus,179,241
F18,Campus,179.5,198
F18,Online,180,198
F18,Campus,180.5,187
F18,Online,182.5,190
F18,Campus,183,195
F18,Campus,185,150
F18,Online,185,184
F18,Campus,185,239
F18,Campus,186,176
F18,Campus,186,198
F18,Online,186.5,213
F18,Campus,187.5,198
F18,Online,188,131
F18,Online,188,201
F18,Online,191,213.5
F18,Campus,191,232
F18,Campus,192,165
F18,Online,192,165
F18,Campus,193,189
F18,Campus,193,189
F18,Campus,193,207
F18,Campus,194,223
F18,Campus,194,226
F18,Campus,195,185
F18,Campus,195,195
F18,Campus,195,243
F18,Campus,196,232
F18,Campus,196.5,195
F18,Online,197,210
F18,Campus,197,230
F18,Campus,197.5,147
F18,Online,198,155
F18,Campus,199,214
F18,Campus,199,242
F18,Campus,199.5,154
F18,Campus,199.5,168
F18,Campus,200,194
F18,Campus,201,189
F18,Campus,201,214
F18,Online,201,214
F18,Campus,201,217
F18,Campus,201,233
F18,Campus,201.5,167
F18,Campus,202,189
F18,Online,202,199
F18,Campus,202,211
F18,Online,203,160
F18,Campus,203.5,187
F18,Campus,204,162
F18,Campus,204,201
F18,Campus,204,236
F18,Campus,204.5,235
F18,Campus,205,174
F18,Online,205,188
F18,Campus,205,196
F18,Online,205,202
F18,Campus,205,220
F18,Online,206,221
F18,Campus,206,230
F18,Campus,206.5,208
F18,Campus,206.5,213
F18,Online,207,185
F18,Campus,207,219
F18,Online,207,236
F18,Campus,207,244
F18,Online,208,196
F18,Campus,209,202
F18,Campus,209,219
F18,Campus,209.5,213
F18,Campus,209.5,232
F18,Campus,210,194
F18,Campus,211,180
F18,Campus,212,199
F18,Campus,212,201
F18,Online,212,202
F18,Campus,212,203
F18,Campus,212,232
F18,Campus,213,234
F18,Campus,214,208
F18,Campus,214,215
F18,Campus,214.5,170
F18,Campus,215.5,176
F18,Campus,215.5,179
F18,Campus,215.5,185
F18,Campus,216,201
F18,Campus,216,231
F18,Campus,217,184
F18,Online,217,184
F18,Campus,217,195
F18,Campus,217,223
F18,Online,217.5,166
F18,Campus,217.5,203
F18,Campus,218,212
F18,Campus,218,217
F18,Online,218,238
F18,Campus,218,243
F18,Campus,219,209
F18,Campus,220,166
F18,Online,220,238
F18,Campus,220.5,224
F18,Campus,222,221
F18,Campus,222,223
F18,Campus,222,232
F18,Online,223,213
F18,Online,224,216
F18,Campus,224,232
F18,Campus,224,238
F18,Campus,224.5,191
F18,Campus,224.5,232
F18,Campus,225,205
F18,Campus,225,206
F18,Campus,225,236
F18,Campus,226,227
F18,Campus,226,239
F18,Campus,227,193
F18,Campus,227,204
F18,Campus,227,208
F18,Campus,228,228
F18,Campus,228.5,219
F18,Campus,228.5,250
F18,Campus,229,220
F18,Campus,229,224
F18,Campus,230,209
F18,Campus,230,234
F18,Campus,231,197
F18,Campus,231,215
F18,Campus,231,219
F18,Online,232,226
F18,Campus,232,238
F18,Online,232,250
F18,Campus,232.5,236
F18,Campus,233,242
F18,Campus,234,197
F18,Online,234,223
F18,Campus,234.5,236
F18,Campus,235,234
F18,Campus,236,238
F18,Campus,238,238
F18,Campus,238.5,192
F18,Campus,238.5,231
F18,Campus,239,183
F18,Online,239,208
F18,Campus,239,237
F18,Campus,241,213
F18,Online,242,244
F18,Online,244,207
F18,Campus,244,231
F18,Campus,244,238
F18,Online,247,242
F18,Campus,249,217
F18,Campus,249.5,238
F18,Campus,250,231
F18,Campus,250,238
F18,Campus,252,237
F18,Campus,255,244
F18,Campus,255,250
